Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote
SOCB,Southcoast Financial Corporation,5.5,38927850.5,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/socb
SFST,"Southern First Bancshares, Inc.",13.27,56655428.99,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sfst
SMBC,"Southern Missouri Bancorp, Inc.",26.77,87191924.52,n/a,n/a,Finance,Banks,http://www.nasdaq.com/symbol/smbc
SONA,"Southern National Bancorp of Virginia, Inc.",10.02,116133924.2,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sona
SBSI,"Southside Bancshares, Inc.",25.57,456851928.1,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sbsi
OKSB,"Southwest Bancorp, Inc.",14.89,293225672.9,n/a,1993,Finance,Major Banks,http://www.nasdaq.com/symbol/oksb
OKSBP,"Southwest Bancorp, Inc.",25,0,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/oksbp
SPBC,"SP Bancorp, Inc.",19.7,32283375,n/a,2010,Finance,Savings Institutions,http://www.nasdaq.com/symbol/spbc
SPAN,"Span-America Medical Systems, Inc.",21.82,64421717.12,n/a,1983,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/span
SBSA,"Spanish Broadcasting System, Inc.",4.0901,26615687.69,n/a,1999,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/sbsa
SGRP,"SPAR Group, Inc.",1.9643,40243238.75,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/sgrp
SPAR,"Spartan Motors, Inc.",6.23,212647393.8,n/a,n/a,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/spar
SPTN,"Spartan Stores, Inc.",20.79,455253682,n/a,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/sptn
SPPI,"Spectrum Pharmaceuticals, Inc.",8.22,520389450.2,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/sppi
NAVR,"Speed Commerce, Inc.",3.73,211984098.5,n/a,1993,Technology,Retail: Computer Software & Peripheral Equipment,http://www.nasdaq.com/symbol/navr
SPEX,Spherix Incorporated,10.75,12943483.75,n/a,n/a,Health Care,Precision Instruments,http://www.nasdaq.com/symbol/spex
SAVE,"Spirit Airlines, Inc.",32.75,2378322882,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/save
SPLK,Splunk Inc.,60.35,6265055648,n/a,1981,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/splk
SPCHA,"Sport Chalet, Inc.",1.12,15893148.32,n/a,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/spcha
SPCHB,"Sport Chalet, Inc.",1.42,20150241.62,n/a,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/spchb
SPRD,"Spreadtrum Communications, Inc.",30.3,1448515225,n/a,2007,Technology,Semiconductors,http://www.nasdaq.com/symbol/sprd
SFM,"Sprouts Farmers Market, Inc.",38.224,5597291075,n/a,n/a,Consumer Services,Food Chains,http://www.nasdaq.com/symbol/sfm
SPSC,"SPS Commerce, Inc.",68.11,1031406553,n/a,2010,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/spsc
SSNC,"SS&C Technologies Holdings, Inc.",37.99,3096232601,n/a,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ssnc
STAA,STAAR Surgical Company,12.62,466756795.5,n/a,1983,Health Care,Ophthalmic Goods,http://www.nasdaq.com/symbol/staa
STMP,Stamps.com Inc.,44.07,689428700.2,n/a,1999,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/stmp
STND,Standard Financial Corp.,18.82,59175669.54,n/a,2010,Finance,Major Banks,http://www.nasdaq.com/symbol/stnd
STAN,Standard Parking Corporation,23.27,509923561.4,n/a,1992,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/stan
STLY,"Stanley Furniture Company, Inc.",3.45,50070553.8,n/a,n/a,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/stly
SPLS,"Staples, Inc.",14.555,9613487856,n/a,1989,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/spls
SBLK,Star Bulk Carriers Corp.,10.66,221212812.9,n/a,n/a,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/sblk
STSI,"Star Scientific, Inc.",1.91,322927816.1,n/a,n/a,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/stsi
SBUX,Starbucks Corporation,74.215,55765151000,n/a,1992,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/sbux
STRZA,Starz,25.99,3039514594,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/strza
STRZB,Starz,26.01,256984990.4,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/strzb
STFC,State Auto Financial Corporation,19.47,791091041.1,n/a,1991,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/stfc
STBZ,State Bank Financial Corporation.,15.92,509179628.4,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/stbz
SIBC,"State Investors Bancorp, Inc.",14.6,36338319.6,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/sibc
GASS,"StealthGas, Inc.",9.15,293965060.4,n/a,2005,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/gass
STEC,"STEC, Inc.",6.84,321461128.4,n/a,2000,Technology,Electronic Components,http://www.nasdaq.com/symbol/stec
STLD,"Steel Dynamics, Inc.",16.48,3638703067,n/a,1996,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/stld
SMRT,"Stein Mart, Inc.",12.82,567714777.7,n/a,1992,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/smrt
STNR,Steiner Leisure Limited,57.05,836007162.9,n/a,1996,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/stnr
STEL,StellarOne Corporation,21.74,494171222.6,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/stel
STEM,"StemCells, Inc.",1.66,68565055,n/a,1992,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/stem
STML,"Stemline Therapeutics, Inc.",36.62,459179315.2,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/stml
STXS,"Stereotaxis, Inc.",3.58,52398390.76,n/a,2004,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/stxs
SRCL,"Stericycle, Inc.",114.78,9858565077,n/a,1996,Basic Industries,Environmental Services,http://www.nasdaq.com/symbol/srcl
STRL,Sterling Construction Company Inc,9.71,161696542.1,n/a,1986,Basic Industries,Military/Government/Technical,http://www.nasdaq.com/symbol/strl
